matrix: instance=c8g.metal-48xl arch=aarch64 vcpu=192 governor=unknown
  allocators: libc umem umem@null umem-preload umem-preload@null jemalloc tcmalloc mimalloc snmalloc scudo rpmalloc
  threads:    1 8 32 64 128 192
  rpmalloc prodcons 1024:4096 t=1 rep=1  13:40:06
  libc prodcons 1024:4096 t=1 rep=2  13:40:48
  umem prodcons 1024:4096 t=1 rep=2  13:41:05
  umem@null prodcons 1024:4096 t=1 rep=2  13:41:21
  umem-preload prodcons 1024:4096 t=1 rep=2  13:41:37
  umem-preload@null prodcons 1024:4096 t=1 rep=2  13:41:53
  jemalloc prodcons 1024:4096 t=1 rep=2  13:42:10
  tcmalloc prodcons 1024:4096 t=1 rep=2  13:42:25
  mimalloc prodcons 1024:4096 t=1 rep=2  13:42:41
  snmalloc prodcons 1024:4096 t=1 rep=2  13:42:57
  scudo prodcons 1024:4096 t=1 rep=2  13:43:14
  rpmalloc prodcons 1024:4096 t=1 rep=2  13:43:35
  libc prodcons 1024:4096 t=8 rep=1  13:44:17
  umem prodcons 1024:4096 t=8 rep=1  13:44:24
  umem@null prodcons 1024:4096 t=8 rep=1  13:44:32
  umem-preload prodcons 1024:4096 t=8 rep=1  13:44:40
  umem-preload@null prodcons 1024:4096 t=8 rep=1  13:44:48
  jemalloc prodcons 1024:4096 t=8 rep=1  13:44:56
  tcmalloc prodcons 1024:4096 t=8 rep=1  13:45:02
  mimalloc prodcons 1024:4096 t=8 rep=1  13:45:07
  snmalloc prodcons 1024:4096 t=8 rep=1  13:45:16
  scudo prodcons 1024:4096 t=8 rep=1  13:45:21
  rpmalloc prodcons 1024:4096 t=8 rep=1  13:45:37
  libc prodcons 1024:4096 t=8 rep=2  13:45:45
  umem prodcons 1024:4096 t=8 rep=2  13:45:53
  umem@null prodcons 1024:4096 t=8 rep=2  13:46:01
  umem-preload prodcons 1024:4096 t=8 rep=2  13:46:09
  umem-preload@null prodcons 1024:4096 t=8 rep=2  13:46:17
  jemalloc prodcons 1024:4096 t=8 rep=2  13:46:25
